001.txt	117273	41024
002.txt	6835199	1507201
003.txt	1367999	720001
004.txt	30980	17817
005.txt	2041506	593256
006.txt	4079	2284
007.txt	3410	1924
008.txt	7480	4519
009.txt	3772	2244
010.txt	4833	2929
011.txt	2881	1764
012.txt	21983	12056
013.txt	24344	13535
014.txt	55895	30710
015.txt	90382	49639
016.txt	135279	74265
017.txt	221241	121077
018.txt	391593	215332
019.txt	940743	516884
020.txt	10554	6366
021.txt	1859258	1033811
022.txt	184184	111643
023.txt	264679	165336
024.txt	33008	19283
025.txt	788086	421270
026.txt	710752	444998
027.txt	230591	149650
028.txt	241313	146154
029.txt	4422547	2229211
030.txt	1887517	1080349
031.txt	4152592	2862466
032.txt	7556128	4895061
033.txt	7414257	4231844
034.txt	5290126	2969546
035.txt	5441761	3047266
036.txt	5374893	3003644
037.txt	5003088	2803731
038.txt	110592	13826
039.txt	388080	48512
040.txt	359948	224453
